,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
IDX,,Folder,Name,Nuevo Nombre,,marco,herreria,tulle,tulle deslavado,tulle natural,tulle natural decorado,,,,,
1,"{""folder"": """,01,""", ""name"": """,TD3-101-a.jpg,""", ""categories"": """,marco,herreria,tulle,tulle deslavado,,,,,,,"""},"
2,"{""folder"": """,02,""", ""name"": """,TD3-101-b.jpg,""", ""categories"": """,marco,herreria,tulle,tulle deslavado,,,,,,,"""},"
3,"{""folder"": """,03,""", ""name"": """,TD3-102-a.jpg,""", ""categories"": """,marco,herreria,tulle,tulle deslavado,,,,,,,"""},"
4,"{""folder"": """,04,""", ""name"": """,TD3-102-b.jpg,""", ""categories"": """,marco,herreria,tulle,tulle deslavado,,,,,,,"""},"
5,"{""folder"": """,05,""", ""name"": """,TD3-103-a.jpg,""", ""categories"": """,marco,herreria,tulle,tulle deslavado,,,,,,,"""},"
6,"{""folder"": """,06,""", ""name"": """,TD3-103-b.jpg,""", ""categories"": """,marco,herreria,tulle,tulle deslavado,,,,,,,"""},"
7,"{""folder"": """,07,""", ""name"": """,TD3-104-a.jpg,""", ""categories"": """,marco,herreria,tulle,tulle deslavado,,,,,,,"""},"
8,"{""folder"": """,08,""", ""name"": """,TD3-104-b.jpg,""", ""categories"": """,marco,herreria,tulle,tulle deslavado,,,,,,,"""},"
9,"{""folder"": """,09,""", ""name"": """,TD3-105-a.jpg,""", ""categories"": """,marco,herreria,tulle,tulle deslavado,,,,,,,"""},"
10,"{""folder"": """,10,""", ""name"": """,TD3-105-b.jpg,""", ""categories"": """,marco,herreria,tulle,tulle deslavado,,,,,,,"""},"
11,"{""folder"": """,11,""", ""name"": """,TD3-106-a.jpg,""", ""categories"": """,marco,herreria,tulle,tulle deslavado,,,,,,,"""},"
12,"{""folder"": """,12,""", ""name"": """,TD3-106-b.jpg,""", ""categories"": """,marco,herreria,tulle,tulle deslavado,,,,,,,"""},"
13,"{""folder"": """,13,""", ""name"": """,TD3-107-a.jpg,""", ""categories"": """,marco,herreria,tulle,tulle deslavado,,,,,,,"""},"
14,"{""folder"": """,14,""", ""name"": """,TD3-107-b.jpg,""", ""categories"": """,marco,herreria,tulle,tulle deslavado,,,,,,,"""},"
15,"{""folder"": """,15,""", ""name"": """,TD3-108-a.jpg,""", ""categories"": """,marco,herreria,tulle,tulle deslavado,,,,,,,"""},"
16,"{""folder"": """,16,""", ""name"": """,TD3-108-b.jpg,""", ""categories"": """,marco,herreria,tulle,tulle deslavado,,,,,,,"""},"
17,"{""folder"": """,17,""", ""name"": """,TD3-109-a.jpg,""", ""categories"": """,marco,herreria,tulle,tulle deslavado,,,,,,,"""},"
18,"{""folder"": """,18,""", ""name"": """,TD3-109-b.jpg,""", ""categories"": """,marco,herreria,tulle,tulle deslavado,,,,,,,"""},"
19,"{""folder"": """,19,""", ""name"": """,TD3-110-a.jpg,""", ""categories"": """,marco,herreria,tulle,tulle deslavado,,,,,,,"""},"
20,"{""folder"": """,20,""", ""name"": """,TD3-110-b.jpg,""", ""categories"": """,marco,herreria,tulle,tulle deslavado,,,,,,,"""},"
21,"{""folder"": """,21,""", ""name"": """,TN3-101-a.jpg,""", ""categories"": """,marco,herreria,tulle,,tulle natural,,,,,,"""},"
22,"{""folder"": """,22,""", ""name"": """,TN3-102-a.jpg,""", ""categories"": """,marco,herreria,tulle,,tulle natural,,,,,,"""},"
23,"{""folder"": """,23,""", ""name"": """,TN3-103-a.jpg,""", ""categories"": """,marco,herreria,tulle,,tulle natural,,,,,,"""},"
24,"{""folder"": """,24,""", ""name"": """,TN3-104-a.jpg,""", ""categories"": """,marco,herreria,tulle,,tulle natural,,,,,,"""},"
25,"{""folder"": """,25,""", ""name"": """,TN3-105-a.jpg,""", ""categories"": """,marco,herreria,tulle,,tulle natural,,,,,,"""},"
26,"{""folder"": """,26,""", ""name"": """,TN3-107-a.jpg,""", ""categories"": """,marco,herreria,tulle,,tulle natural,,,,,,"""},"
27,"{""folder"": """,27,""", ""name"": """,TN3-108-a.jpg,""", ""categories"": """,marco,herreria,tulle,,tulle natural,,,,,,"""},"
28,"{""folder"": """,28,""", ""name"": """,TN3-109-a.jpg,""", ""categories"": """,marco,herreria,tulle,,tulle natural,,,,,,"""},"
